1,2,3,4,5,num
$60,it,should,look,nice,1
&,Game,World,Taking,cues,1
&,Suelle,.,_,I'll,1
&,Suelle,and,specially,what,1
&,The,Mysterious,Dream,is,1
&,more,Sophie,good,game,1
'tap,in',system,helps,you,1
.,_,.,_,.,1
.,_,.,_,If,1
.,_,.,_,Man,1
.,_,.,_,do,1
.,_,1,for,them,1
.,_,10/10,new,characters,1
.,_,100%,recommended,.,1
.,_,1440p,I,am,1
.,_,20,and,Alchemist,1
.,_,21,hours,later,1
.,_,25th,release,compared,1
.,_,3,people,in,1
.,_,30,hours,later,2
.,_,5/7,Barrel,.,1
.,_,50,Our,mysterious,1
.,_,A,clear,recommendation,1
.,_,A,simple,but,1
.,_,Actual,level,geometry,1
.,_,Alchemy,system,is,1
.,_,All,I,want,1
.,_,All,in,all,1
.,_,All,major,events,1
.,_,Also,finally,no,1
.,_,Also,further,visual,1
.,_,Also,runs,flawlessly,1
.,_,Although,I,like,1
.,_,Although,it,has,1
.,_,Am,I,stamping,1
.,_,And,even,the,1
.,_,And,if,you,1
.,_,And,would,it,1
.,_,And,yet,again,1
.,_,Animations,can,be,1
.,_,Another,year,another,1
.,_,Any,newcomers,who,1
.,_,Anyways,I'm,half,1
.,_,As,a,gamer,1
.,_,As,always,a,1
.,_,As,someone,that,1
.,_,As,someone,who,1
.,_,Atelier,Ryza,was,1
.,_,Atelier,Sophie,2,3
.,_,Atelier,Sophie,was,1
.,_,Aura,system,with,1
.,_,Auto,add,materials,1
.,_,BOOBA,/,10,1
.,_,Bagi,yang,ga,1
.,_,Because,entering,combat,1
.,_,Being,perfectly,honest,1
.,_,Besides,this,we,1
.,_,Best,Atelier,Series,1
.,_,Best,Atelier,game,1
.,_,But,I'm,not,1
.,_,But,by,FAR,1
.,_,But,that's,not,1
.,_,But,they,still,1
.,_,Buy,it,.,1
.,_,By,virtue,of,1
.,_,Can,be,very,1
.,_,Characters,are,super,1
.,_,Characters,are,very,1
.,_,Characters,will,talk,1
.,_,Check,in,her,1
.,_,Classic,turn,based,1
.,_,Combat,Combat,is,1
.,_,Combat,is,a,1
.,_,Combat,is,much,1
.,_,Combat,system,is,1
.,_,Controls,on,a,1
.,_,Crafting,The,Tetris,1
.,_,Crafting,is,the,1
.,_,Do,I,need,1
.,_,Doing,so,immediately,1
.,_,Don't,expect,a,1
.,_,Dude,I,dunno,1
.,_,Easy,to,fast,1
.,_,Expanding,on,the,1
.,_,Few,things,I’d,1
.,_,First,time,comment,1
.,_,Firstly,your,character,1
.,_,Follow,my,for,1
.,_,For,newcomers,it,1
.,_,For,one,Sophie,1
.,_,For,one,it’s,1
.,_,For,some,reason,1
.,_,From,the,start,1
.,_,Full,review,including,1
.,_,Fun,was,ready,1
.,_,Game,Loop,In,1
.,_,Game,is,really,1
.,_,Gathering,&,Game,1
.,_,Getting,framerate,drops,1
.,_,Good,Game,with,1
.,_,Graphically,it's,very,1
.,_,Graphics,Compared,to,1
.,_,Great,addition,to,1
.,_,Great,news,as,1
.,_,Guess,have,to,1
.,_,Gust,already,offered,1
.,_,Gust,you,are,1
.,_,Has,the,great,1
.,_,Having,to,cycle,1
.,_,Honestly,it,might,1
.,_,However,I,also,1
.,_,However,I,don't,1
.,_,However,it's,perfectly,1
.,_,I,MEAN,medicine,1
.,_,I,can't,get,1
.,_,I,can't,imagine,1
.,_,I,don't,know,1
.,_,I,enjoyed,Ryza,1
.,_,I,feel,it,1
.,_,I,got,to,1
.,_,I,just,really,1
.,_,I,just,think,1
.,_,I,know,people,1
.,_,I,like,Weather,1
.,_,I,like,it,1
.,_,I,liked,the,1
.,_,I,missed,this,1
.,_,I,particularly,really,1
.,_,I,prefer,this,1
.,_,I,ran,out,1
.,_,I,really,like,1
.,_,I,suspected,something,1
.,_,I,think,most,1
.,_,I,think,this,1
.,_,I,tried,to,1
.,_,I,wanted,to,1
.,_,I,was,thoroughly,1
.,_,I,wasn't,expecting,1
.,_,I,will,keep,1
.,_,I,won’t,sit,1
.,_,I'll,comeback,when,1
.,_,I'll,take,it,1
.,_,I'm,extremely,used,1
.,_,I'm,fine,with,1
.,_,I'm,happy,Gust,1
.,_,I'm,happy,for,1
.,_,I'm,having,a,1
.,_,I'm,not,very,1
.,_,I'm,still,very,1
.,_,I've,never,refunded,1
.,_,If,Koei,Tecmo,1
.,_,If,you're,a,1
.,_,If,you're,allergic,1
.,_,If,you're,not,1
.,_,If,you're,ok,1
.,_,In,conclusion,this,1
.,_,In,depth,crafting,1
.,_,In,terms,of,1
.,_,Ingredients,are,actually,1
.,_,Instructions,are,not,1
.,_,It,basically,meshes,1
.,_,It,doesn’t,go,1
.,_,It,seems,that,1
.,_,It,shouldn't,.,1
.,_,It's,Sophie,2,1
.,_,It's,actually,really,1
.,_,It's,just,not,1
.,_,It’s,not,necessarily,1
.,_,It’s,not,one,1
.,_,It’s,somehow,much,1
.,_,Just,a,little,1
.,_,KBM,working,wonderful,1
.,_,Later,half,it,1
.,_,Looks,like,KT,1
.,_,Looks,like,story,1
.,_,Love,how,they,1
.,_,Love,the,new,1
.,_,Man,the,new,1
.,_,Many,beautiful,girls,1
.,_,Map,design,is,1
.,_,Map,is,very,1
.,_,Maps,are,gorgeous,1
.,_,Melodies,beautiful,orchestrated,1
.,_,Might,be,my,1
.,_,Minus,the,thicc,1
.,_,Music,is,definitely,1
.,_,My,frames,drop,1
.,_,My,initial,expectation,1
.,_,My,one,sole,1
.,_,My,only,real,1
.,_,My,system,is,1
.,_,NO,.,_,1
.,_,Nearly,every,new,1
.,_,Next,level,cutscene,1
.,_,No,.,_,1
.,_,No,huge,complex,1
.,_,No,need,to,1
.,_,No,previous,knowledge,1
.,_,Not,a,super,1
.,_,Not,disappointed,at,1
.,_,Not,only,is,1
.,_,Not,that,the,1
.,_,Note,Trimmed,review,1
.,_,Nothing,radically,new,1
.,_,Now,instead,of,1
.,_,Now,to,the,1
.,_,Of,course,I,1
.,_,Oh,this,even,1
.,_,Ok,now,moving,1
.,_,Once,I,connected,1
.,_,One,drawback,is,1
.,_,One,of,the,1
.,_,Optimization,performance/fps,is,1
.,_,Otherwise,the,PC,1
.,_,Overall,Atelier,Sophie,1
.,_,Overall,highly,recommended,1
.,_,PC,Graphic,setting,1
