,-1,0,1,2,3,4,5,6,7,8
0,tony,organization,enlightened,programmed,secondhand,technique,difference,seventy,ballantyne,professional
1,capacity,organizations,heightened,programs,microseconds,tech,reference,twelve,welcome,professionalism
2,robin,nationalism,frightened,program,microsecond,technical,differences,fourteen,becoming,confession
3,michael,nationals,weighed,reprogrammed,millisecond,technicians,indifference,seventeen,exciting,professionally
4,digital,national,weighted,preprogrammed,kiloseconds,techniques,deference,fourteenth,daunting,confessions
5,world,organizational,frightens,programming,milliseconds,techs,clarence,fifth,particularly,unprofessional
6,new,nationality,brightened,reprogramming,megasecond,techies,preference,seventh,circumstances,profession
7,life,nationalists,sharpened,programmer,gigasecond,techno,lawrence,eighteen,carefully,professionals
8,first,nationalist,lightened,programmers,megaseconds,technician,references,nineteen,minimize,professions
9,day,nationalistic,frighten,programme,gigaseconds,technics,preferences,eighteenth,potential,concessions
10,rest,nationalities,,reprogram,,technie,referenced,fifteenth,peeking,congressional
11,personality,,,,,technicki,,seventeenth,operative,confessional
12,construct,,,,,technickis,,sixteenth,induction,concession
13,regarded,,,,,techniwave,,nineteenth,devoted,
14,many,,,,,,,eleventh,education,
15,next,,,,,,,,punishment,
16,step,,,,,,,,counseling,
17,personal,,,,,,,,occupied,
18,development,,,,,,,,artificial,
19,however,,,,,,,,intelligences,
20,little,,,,,,,,replicate,
21,atomic,,,,,,,,humankind,
22,would,,,,,,,,future,
23,say,,,,,,,,debate,
24,physical,,,,,,,,crux,
25,mean,,,,,,,,actually,
26,remember,,,,,,,,phrase,
27,making,,,,,,,,nowadays,
28,choice,,,,,,,,period,
29,led,,,,,,,,issues,
30,transition,,,,,,,,relating,
31,please,,,,,,,,pcs,
32,take,,,,,,,,particular,
33,moment,,,,,,,,primeval,
34,read,,,,,,,,amoeba,
35,guide,,,,,,,,cellular,
36,reality,,,,,,,,replication,
37,ordered,,,,,,,,dinosaurs,
38,stress,,,,,,,,crawled,
39,ahead,,,,,,,,gasping,
40,social,,,,,,,,mammals,
41,care,,,,,,,,underwent,
42,along,,,,,,,,evolution,
43,shortly,,,,,,,,resulted,
44,assist,,,,,,,,sapiens,
45,phase,,,,,,,,algorithm,
46,without,,,,,,,,adventure,
47,go,,,,,,,,sunlight,
48,year,,,,,,,,dappled,
49,may,,,,,,,,amongst,
50,come,,,,,,,,woodland,
51,shock,,,,,,,,glade,
52,try,,,,,,,,appearance,
53,put,,,,,,,,exaggerated,
54,aside,,,,,,,,necessary,
55,branch,,,,,,,,hmm,
56,ea,,,,,,,,delicious,
57,helping,,,,,,,,gravelly,
58,humans,,,,,,,,rumble,
59,medical,,,,,,,,waggled,
60,crime,,,,,,,,mccusker,
61,advice,,,,,,,,defined,
62,handled,,,,,,,,v,
63,us,,,,,,,,rubbing,
64,environmental,,,,,,,,residue,
65,agency,,,,,,,,ragged,
66,thing,,,,,,,,ouch,
67,earth,,,,,,,,spikes,
68,domain,,,,,,,,definitely,
69,von,,,,,,,,drawing,
70,neumann,,,,,,,,swap,
71,machines,,,,,,,,marek,
72,robots,,,,,,,,tidying,
73,animals,,,,,,,,iota,
74,plants,,,,,,,,airy,
75,insects,,,,,,,,fluted,
76,get,,,,,,,,gorgeous,
77,fair,,,,,,,,evolved,
78,slice,,,,,,,,wrapped,
79,pie,,,,,,,,maximum,
80,runs,,,,,,,,pheromones,
81,everyone,,,,,,,,impression,
82,agree,,,,,,,,chemicals,
83,hear,,,,,,,,jumped,
84,people,,,,,,,,roster,
85,talking,,,,,,,,allowing,
86,watcher,,,,,,,,sucking,
87,believe,,,,,,,,pricked,
88,ai,,,,,,,,thumb,
89,powerful,,,,,,,,relationship,
90,others,,,,,,,,wondered,
91,created,,,,,,,,arrogant,
92,ais,,,,,,,,emerging,
93,leading,,,,,,,,teasing,
94,better,,,,,,,,botanical,
95,myth,,,,,,,,triumphantly,
96,see,,,,,,,,bound,
97,religious,,,,,,,,ascended,
98,alive,,,,,,,,bordered,
99,well,,,,,,,,sprinkling,
100,rd,,,,,,,,flitted,
101,century,,,,,,,,examples,
102,exactly,,,,,,,,hybrid,
103,ah,,,,,,,,mechanical,
104,matter,,,,,,,,traditional,
105,simply,,,,,,,,secret,
106,human,,,,,,,,intriguing,
107,mind,,,,,,,,gazing,
108,running,,,,,,,,sunken,
109,computer,,,,,,,,edges,
110,old,,,,,,,,organic,
111,fashioned,,,,,,,,glinted,
112,concept,,,,,,,,oddly,
113,processing,,,,,,,,foliage,
114,space,,,,,,,,lilting,
115,longer,,,,,,,,generation,
116,important,,,,,,,,unlike,
117,right,,,,,,,,contemporary,
118,recognized,,,,,,,,routines,
119,laid,,,,,,,,knowingly,
120,briefly,,,,,,,,sloping,
121,assumed,,,,,,,,frictionless,
122,full,,,,,,,,resigned,
123,control,,,,,,,,original,
124,rights,,,,,,,,protected,
125,established,,,,,,,,technology,
126,return,,,,,,,,industrial,
127,question,,,,,,,,espionage,
128,apply,,,,,,,,location,
129,sentinel,,,,,,,,essential,
130,birth,,,,,,,,procedures,
