,-1,0,1
0,tony,ballantyne,induction
1,capacity,daunting,education
2,robin,minimize,desperation
3,michael,peeking,inspiration
4,welcome,punishment,isolation
5,digital,amoeba,assumption
6,world,mammals,frustration
7,new,dappled,indication
8,life,waggled,rehabilitation
9,first,mccusker,dislocation
10,day,rubbing,situations
11,rest,tidying,reclamation
12,becoming,gorgeous,rendition
13,personality,pheromones,discrimination
14,construct,teasing,separation
15,regarded,sprinkling,combination
16,many,hybrid,meditation
17,exciting,intriguing,contradictions
18,next,lilting,superstition
19,step,reproducing,exception
20,personal,flattering,proportions
21,development,jigsaw,imagination
22,however,anachronistic,resignation
23,little,ridiculous,definition
24,particularly,obliquely,affirmation
25,circumstances,squiggle,volition
26,atomic,circuitry,humiliation
27,would,outgoing,celebration
28,say,backing,introduction
29,physical,dodge,circulation
30,mean,withering,recommendation
31,remember,morphing,ambition
32,making,frisbee,equation
33,choice,dipping,modulation
34,led,exhibit,reproduction
35,transition,australia,notation
36,please,biological,recriminations
37,take,wordlessly,expedition
38,moment,nonslip,indignation
39,read,retreating,proportion
40,guide,hemmed,relaxation
41,reality,autumn,redemption
42,carefully,stuttered,solutions
43,ordered,failsafe,revelation
44,potential,advertised,incarnation
45,stress,vicinity,attrition
46,ahead,hopeless,provocation
47,social,foreboding,exhibition
48,care,unattached,mutation
49,operative,terrifying,innovation
50,along,irish,punctuation
51,shortly,shushing,syndication
52,assist,hugging,addiction
53,phase,awful,addition
54,without,vicarious,disruption
55,go,amplify,occupation
56,year,anonymity,verification
57,may,egos,disruptions
58,come,hopelessly,violation
59,shock,calypso,civilisation
60,try,exclude,subscription
61,put,tenacious,justification
62,aside,favorite,negotiations
63,branch,scenarios,recommendations
64,ea,sardonically,admiration
65,devoted,scattering,motivation
66,helping,psychedelic,demolition
67,humans,smudge,sedation
68,medical,avoiding,irrigation
69,crime,iridescent,juxtaposition
70,counseling,splashing,duration
71,advice,farting,demonstrations
72,handled,dormant,configuration
73,us,fluorescent,repetition
74,environmental,tedious,obligation
75,agency,insulted,medication
76,thing,involuntary,institutions
77,earth,squelched,proposition
78,domain,tactless,ambitions
79,occupied,unbreakable,investigations
80,artificial,drastically,identification
81,intelligences,longingly,discretion
82,von,inscrutable,affiliation
83,neumann,inexplicably,revolution
84,machines,antiseptic,inhibitions
85,replicate,accelerants,motivations
86,robots,illness,culmination
87,animals,neurological,assertions
88,plants,tumor,legislation
89,insects,crescent,determination
90,get,aelfric,malfunction
91,fair,avoided,implication
92,slice,attributed,vaccination
93,pie,gnarled,precautions
94,runs,cursory,agitation
95,everyone,rattling,intimidation
96,agree,albeit,allegations
97,hear,unscrew,vindication
98,people,inquiry,renovations
99,talking,rueful,dedication
100,watcher,wobbled,accommodations
101,believe,thumping,inclination
102,ai,haltingly,vocation
103,powerful,irregularities,intoxication
104,others,logically,dysfunctions
105,created,tiptoeing,decontamination
106,ais,scornfully,acquisition
107,leading,slurped,coordination
108,humankind,tm,portions
109,better,freshness,corruption
110,future,rescuing,notations
111,myth,fluttering,decapitation
112,see,stillness,emancipation
113,religious,invaded,emigration
114,debate,puffed,gratification
