,-1,0,1,2,3,4,5
0,tony,toby,millions,drive,done,capacity,lucy
1,michael,jimmy,billion,driven,alone,robin,madeleine
2,new,oryx,billions,drives,anyone,welcome,valentine
3,life,snowman,trillions,drivers,gone,digital,tabletop
4,day,blackbeard,trillion,rivers,none,world,petrovitch
5,rest,,million,,lone,first,valentina
6,many,,,,,becoming,iguro
7,next,,,,,personality,
8,step,,,,,construct,
9,mean,,,,,regarded,
10,led,,,,,exciting,
11,take,,,,,personal,
12,read,,,,,development,
13,ahead,,,,,however,
14,care,,,,,little,
15,year,,,,,particularly,
16,shock,,,,,circumstances,
17,try,,,,,atomic,
18,put,,,,,would,
19,ea,,,,,say,
20,us,,,,,physical,
21,thing,,,,,remember,
22,von,,,,,making,
23,machines,,,,,choice,
24,robots,,,,,transition,
25,animals,,,,,please,
26,plants,,,,,moment,
27,get,,,,,guide,
28,pie,,,,,reality,
29,hear,,,,,carefully,
30,people,,,,,ordered,
31,watcher,,,,,potential,
32,ai,,,,,stress,
33,ais,,,,,social,
34,better,,,,,operative,
35,see,,,,,along,
36,alive,,,,,shortly,
37,century,,,,,assist,
38,ah,,,,,phase,
39,old,,,,,induction,
40,space,,,,,without,
41,return,,,,,go,
42,real,,,,,may,
43,one,,,,,come,
44,live,,,,,aside,
45,soup,,,,,branch,
46,sea,,,,,devoted,
47,land,,,,,helping,
48,trees,,,,,humans,
49,machine,,,,,medical,
50,net,,,,,education,
51,steps,,,,,crime,
52,join,,,,,punishment,
53,helen,,,,,counseling,
54,ones,,,,,advice,
55,eyebrows,,,,,handled,
56,kevin,,,,,environmental,
57,warm,,,,,agency,
58,brown,,,,,earth,
59,gave,,,,,domain,
60,chin,,,,,occupied,
61,eyes,,,,,artificial,
62,voice,,,,,intelligences,
63,leaned,,,,,neumann,
64,tree,,,,,replicate,
65,glow,,,,,insects,
66,shoulders,,,,,fair,
67,body,,,,,slice,
68,way,,,,,runs,
69,grey,,,,,everyone,
70,made,,,,,agree,
71,arms,,,,,talking,
72,kiss,,,,,believe,
73,caught,,,,,powerful,
74,breeze,,,,,others,
75,tall,,,,,created,
76,reach,,,,,leading,
77,catch,,,,,humankind,
78,end,,,,,future,
79,trunk,,,,,myth,
80,set,,,,,religious,
81,shifts,,,,,debate,
82,last,,,,,well,
83,man,,,,,exactly,
84,stepped,,,,,crux,
85,lite,,,,,matter,
86,train,,,,,simply,
87,seeds,,,,,human,
88,walked,,,,,mind,
89,center,,,,,running,
90,pressed,,,,,computer,
91,hands,,,,,actually,
92,ic,,,,,fashioned,
93,hello,,,,,phrase,
94,places,,,,,concept,
95,walking,,,,,nowadays,
96,slow,,,,,processing,
97,going,,,,,longer,
98,push,,,,,important,
99,lips,,,,,right,
100,closer,,,,,recognized,
101,face,,,,,laid,
102,bent,,,,,briefly,
103,shoots,,,,,period,
104,base,,,,,assumed,
105,wrong,,,,,full,
106,plant,,,,,control,
107,laughed,,,,,issues,
108,vision,,,,,relating,
109,smelled,,,,,rights,
110,skin,,,,,pcs,
111,arm,,,,,established,
112,sun,,,,,question,
113,showing,,,,,apply,
