,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,tony,river,geisha,robin,backup,intelligences,wells,lee,robots,empathy,soup,rights,myth,personality,lucy,case,europe,colony,peter,shoes,detective,ic,mark,first,makes
1,ballantyne,master,comm,slip,imagineers,solar,philip,raft,west,test,food,terms,crash,atomic,straightaway,zion,explosive,kitty,lovers,wore,eldest,fate,sam,rest,stops
2,capacity,lake,major,ff,ad,jupiter,council,kong,pear,superior,hungry,granted,avatar,transition,container,mon,aiming,admin,lover,sleeves,paul,trouble,rosa,next,comes
3,michael,kat,hologram,slippery,disney,aboard,ross,boat,bye,harness,eat,restrict,lagos,ea,madeleine,wan,fire,claire,faith,jacket,thief,answered,cam,step,goes
4,welcome,hyena,glitches,sig,mansion,orbit,lan,delivery,judge,w,dried,legal,hackers,watcher,maddy,dub,fired,tate,god,leather,gentleman,thanks,laptop,would,takes
5,digital,shore,bot,ery,dan,planets,clan,pier,poker,miss,glenn,distribute,hacker,ai,bomb,ya,states,lester,gra,socks,sobornost,max,jones,say,shakes
6,world,coney,scientist,vandals,liberty,circus,cicada,oahu,def,crams,ivory,grant,religion,ais,eased,tug,cannon,firstep,er,blouse,flambeur,toolkit,gator,mean,turns
7,new,downstream,banquet,frog,rehab,sail,murray,pizza,rugby,anyhow,ate,org,tablets,processing,tabletop,flatline,staggered,rimpler,congregation,skirt,zoku,nets,keely,remember,reaches
8,life,grieved,cutter,ally,kim,interstellar,mechanists,boats,monday,association,says,applicable,jerusalem,helen,prophet,talkin,willow,unic,plea,pants,mieli,watchdogs,mimosa,making,stands
9,day,upstream,robotics,vandal,undoing,saturn,mare,jason,bail,catalogue,pig,perform,librarian,kevin,petrovitch,babylon,america,technicki,oasan,cotton,pellegrini,watchdog,yah,choice,smiles
10,becoming,apprentice,pathologist,virginia,tim,computronium,clique,franchise,weekend,receiver,chicken,disclaimer,babel,gazed,oshicora,finn,alliance,technickis,usic,trousers,biot,icon,valjean,take,sees
11,construct,splice,yakuza,simulators,guests,dwarf,diplomatic,fisheye,ants,goat,bees,derivative,conquered,judy,valentina,wi,barrel,molt,pastor,boots,perhonen,butch,toxed,moment,grins
12,regarded,trope,holographic,dow,backstage,starship,nora,hong,sketchy,buster,babies,damages,myths,constructs,yebani,chiba,firing,bonham,tuska,coat,gogol,cerise,gina,care,walks
13,many,tattoon,cyber,feds,bitchun,civilizations,constantine,blazer,pat,andy,eaten,prohibited,metaverse,judys,mudak,matrix,international,praeger,grainger,baggy,oubliette,crackers,galen,without,slides
14,exciting,silicrobes,comms,mac,julius,wormholes,shaper,mafia,susan,fathom,adam,http,incantation,justinian,zhopu,mccoy,gun,radics,pe,shirt,exomemory,starling,joslin,go,raises
15,personal,commensal,ceo,mailman,whuffie,jovian,diplomats,sherman,courtroom,opera,helper,copyright,juanita,gateway,yobany,jacked,rifle,judith,medi,jeans,chocolatier,mayor,beater,come,asks
